hardness_mgL,conductivity_uScm
95.5,217.0
16.016,86.0
57.247600000000006,172.0
74.31479999999999,174.0
14.1674,915.0
61.2608,536.0
38.971199999999996,110.0
6.965400000000001,498.0
83.8386,200.0
75.9358,165.0
196.256,373.0
147.7274,338.0
116.11619999999999,412.0
92.9768,236.0
129.0654,280.0
15.3283,107.0
66.8238,170.0
151.048,340.0
166.644,1430.0
101.1866,256.0
189.248,390.0
357.16099999999994,1040.0
246.548,458.0
35.6375,99.0
77.1974,185.0
309.71799999999996,982.0
31.9796,88.0
27.774,90.0
84.6622,195.0
111.84100000000001,303.0
28.785899999999998,87.0
20.1864,607.0
36.0886,101.0
160.905,325.0
139.9294,330.0
142.68099999999998,432.0
18.8765,1220.0
124.0976,270.0
76.2428,188.0
192.49,372.0
160.2124,337.0
44.07,392.0
15.428999999999998,79.0
131.1768,313.0
653.264,8900.0
41.0826,130.0
31.0946,98.0
32.032,94.0
13.519000000000002,215.0
83.453,208.0
31.8568,94.0
37.762,140.0
124.5356,336.0
80.08,216.0
119.9272,342.0
361.40999999999997,1080.0
542.995,1050.0
35.501599999999996,105.0
93.003,232.0
190.124,512.0
249.30700000000002,537.0
4.1442,15.0
34.9277,90.0
176.09660000000002,487.0
123.45,275.0
196.608,480.0
33.3419,96.0
71.2488,292.0
37.3109,108.0
26.2144,83.0
196.0202,615.0
3.7324,972.0
33.7406,92.0
248.914,629.0
43.1678,120.0
33.6661,89.0
238.181,482.0
36.0886,120.0
31.3664,540.0
143.5832,302.0
109.5536,342.0
28.6107,89.0
97.735,260.0
80.1062,193.0
192.35899999999998,388.0
27.511200000000002,85.0
88.9112,208.0
9.4493,359.0
63.9674,153.0
215.798,464.0
126.69200000000001,261.0
310.594,905.0
25.8026,77.0
35.089800000000004,96.0
130.941,325.0
33.9289,100.0
24.2168,56.0
32.3824,99.0
106.102,289.0
62.934200000000004,338.0
35.177400000000006,124.0
33.4385,1370.0
185.744,376.0
31.3836,84.0
90.0942,214.0
161.0622,355.0
387.125,1090.0
32.7287,96.0
625.134,1310.0
10.110800000000001,68.0
113.7764,316.0
107.08279999999999,244.0
74.7528,166.0
70.399,290.0
40.6446,127.0
368.77,1060.0
103.7622,246.0
27.861600000000003,89.0
40.2328,133.0
146.492,348.0
18.1626,92.0
156.48,466.0
75.962,195.0
186.75099999999998,405.0
34.91459999999999,122.0
123.71199999999999,290.0
29.4474,92.0
123.45,337.0
48.4647,702.0
27.900899999999996,75.0
16.752000000000002,83.0
83.453,191.0
26.9242,81.0
195.863,414.0
245.279,545.0
124.9212,291.0
18.1626,82.0
60.5944,195.0
45.253,128.0
50.992000000000004,130.0
145.6684,315.0
97.735,270.0
15.179299999999998,80.0
22.3068,100.0
208.348,442.0
162.65699999999998,348.0
35.2519,120.0
234.02200000000002,523.0
232.37079999999997,491.0
214.96299999999997,615.0
28.966000000000005,99.0
97.5328,224.0
31.120800000000003,107.0
49.8352,117.0
122.4504,269.0
87.0806,424.0
196.73899999999998,436.0
36.8115,106.0
17.4135,82.0
38.5856,142.0
190.607,395.0
32.268600000000006,97.0
35.3264,101.0
207.47199999999998,573.0
96.114,254.0
241.554,540.0
48.1094,129.0
44.0176,128.0
28.8604,87.0
18.1626,75.0
20.3092,292.0
194.242,522.0
28.947999999999997,78.0
32.443799999999996,101.0
67.6212,206.0
29.596400000000003,85.0
120.077,280.0
30.6214,118.0
13.755600000000001,479.0
205.72,421.0
199.981,514.0
172.64499999999998,364.0
146.15879999999999,398.0
45.2268,152.0
8.963,1000.0
84.2242,209.0
23.6429,84.0
20.046400000000002,488.0
137.38,304.0
31.607099999999996,90.0
153.414,385.0
122.9932,270.0
101.85300000000001,270.0
14.342600000000001,78.0
158.539,330.0
20.283,77.0
11.359300000000001,37.0
38.2221,112.0
131.772,399.0
17.4266,73.0
29.2984,75.0
12.4195,42.0
43.939,149.0
206.72699999999998,558.0
21.9695,101.0
53.4366,275.0
33.192899999999995,106.0
78.48519999999999,185.0
73.8768,189.0
30.9456,88.0
